City,State,Name,Address,Place ID,Map Link,Match Types
Acapulco de Juárez,Guerrero,Hong Xing comida china中国歺厅,"Francisco Javier Mina 9, El Parazal, 39300 Acapulco de Juárez, Gro.",ChIJJdM1uIb3yoURJn2BwNODi98,https://www.google.com/maps/place/?q=place_id:ChIJJdM1uIb3yoURJn2BwNODi98,han
Aguascalientes,Aguascalientes,Comida Sabrosa 美味,"AV Ojocaliente, Av. Alameda 159A, Ojocaliente, 20196 Aguascalientes, Ags.",ChIJPc9AeIDvKYQRvkw99TMm8_g,https://www.google.com/maps/place/?q=place_id:ChIJPc9AeIDvKYQRvkw99TMm8_g,han
Aguascalientes,Aguascalientes,KABUKI 麺やカブキ,"Adolfo López Mateos 205, Trojes de Alonso, 20908 Aguascalientes, Ags.",ChIJU9J2g_ftKYQR69dNlVCqPQI,https://www.google.com/maps/place/?q=place_id:ChIJU9J2g_ftKYQR69dNlVCqPQI,han
Aguascalientes,Aguascalientes,Peking kitchen,"Av. Aguascalientes Nte 1603, Plaza Merlot, 20157 Aguascalientes, Ags.",ChIJnSzu6HPvKYQRDHVY9GeR8pY,https://www.google.com/maps/place/?q=place_id:ChIJnSzu6HPvKYQRDHVY9GeR8pY,pinyin
Aguascalientes,Aguascalientes,邹陪左3店Mall china,"58, Av. Universidad, del Prado Nte, 20127 Aguascalientes, Ags.",ChIJXTagIgDvKYQRe-dDaztzdqc,https://www.google.com/maps/place/?q=place_id:ChIJXTagIgDvKYQRe-dDaztzdqc,han
Cadereyta Jiménez,Nuevo León,Zhōngcān 中餐,"Josefa Ortiz de Domínguez 203, Sin Nombre de Col 1, 67480 Cadereyta Jiménez, N.L.",ChIJ50t6vWnbYoYRVriFZgdNfo0,https://www.google.com/maps/place/?q=place_id:ChIJ50t6vWnbYoYRVriFZgdNfo0,han
Cancún,Quintana Roo,ASIAN FOOD 多米餐厅 DOMI RESTAURANTE,"Kilómetro 3.5 Zona Hotelera Local 4A y 4B, Lote D, Manzana 30 7-9, Kukulcan Boulevard, Zona Hotelera, 77500 Cancún, Q.R.",ChIJ3UL-2ucpTI8RbQTGnVB7_HU,https://www.google.com/maps/place/?q=place_id:ChIJ3UL-2ucpTI8RbQTGnVB7_HU,han
Cancún,Quintana Roo,BEIJING,"Plaza la Luna, Av. la Luna LT1-MZ1, 77533 Cancún, Q.R.",ChIJu1UDfaErTI8RDuQJv2gK5gc,https://www.google.com/maps/place/?q=place_id:ChIJu1UDfaErTI8RDuQJv2gK5gc,pinyin
Cancún,Quintana Roo,Beijing express,"Av. José López Portillo 4, 77518 Cancún, Q.R.",ChIJQ32lWGQrTI8RzqtZ5_LTogM,https://www.google.com/maps/place/?q=place_id:ChIJQ32lWGQrTI8RzqtZ5_LTogM,pinyin
Cancún,Quintana Roo,Hong Kong Express,"Smza.228 mza.22 lote 1 local G-9 centro comercial plaza las Américas II, Supermanzana 228, 77516 Cancún, Q.R.",ChIJN7UKcmgsTI8R9hoy2eVzPbg,https://www.google.com/maps/place/?q=place_id:ChIJN7UKcmgsTI8R9hoy2eVzPbg,pinyin
