category,name,address,rating,user_ratings_total,place_id,lat,lng
餐饮,Oriental Wok Concordia,"Avenida Ébano, Misión San José 801 Colonia, Ebanos IV, 66612 Cdad. Apodaca, N.L., 墨西哥",4.7,6173,ChIJxS6Un3PtYoYRAmZTRIeAQuU,25.7847464,-100.2351587
餐饮,Oriental Wok Anáhuac,"Local 110 Plaza La Joya, Av. Manuel L. Barragán 550, Valle de Anáhuac, 66457 San Nicolás de los Garza, N.L., 墨西哥",4.6,4699,ChIJUSIW7l2UYoYRfmWsmC4oTfw,25.7376828,-100.3146751
餐饮,Yamasan Ramen House,"Plaza Tanarah, Av. José Vasconcelos 345-Local 133, Santa Engracia, 66267 San Pedro Garza García, N.L., 墨西哥",4.6,3907,ChIJKcR0PAq-YoYRmX7OnV0F9cY,25.6540648,-100.3480995
餐饮,Oriental Wok,"Av Insurgentes 2500-L-546, Vista Hermosa, 64620 Monterrey, N.L., 墨西哥",4.6,3213,ChIJF-YS0wWWYoYRl0HFQP86jqA,25.6808913,-100.3557035
餐饮,China House,"C. Salamanca 1312, Mitras Centro, 64460 Monterrey, N.L., 墨西哥",4.4,2257,ChIJR_1FWuGVYoYRky6SAkt62fo,25.6910001,-100.3449162
餐饮,Comida china y Sushi yang yang,"Av. Raúl Salinas Lozano 144-1-3, INFONAVIT Felipe Carrillo Puerto, 66055 Cdad. Gral. Escobedo, N.L., 墨西哥",4.7,1658,ChIJbWMnQZGTYoYRe0uhx3iapLo,25.7846135,-100.3206766
餐饮,Oriental Wok,"Av Lázaro Cárdenas 1000, Paseo de Las Privanzas, 64750 Monterrey, N.L., 墨西哥",4.7,1649,ChIJeRPjRVC-YoYR8gg8iBMuOsY,25.6384433,-100.3155009
餐饮,UMAMI Ramen House Río Orinoco,"Río Orinoco 344, Del Valle, 66220 San Pedro Garza García, N.L., 墨西哥",4.5,1545,ChIJv9rqSnq9YoYREtzN7uBvMeM,25.6582548,-100.3600581
餐饮,Jia Fu COMIDA CHINA,"Calle, Emilio Carranza, Barrio Antiguo, 64000 Monterrey, N.L., 墨西哥",4.6,990,ChIJKSVG_S6-YoYRXuWX7waND9g,25.667023,-100.3132369
餐饮,Shung Jing Comida China Bufet,"Anastacio Bustamante 718, Centro, 66400 San Nicolás de los Garza, N.L., 墨西哥",4.3,977,ChIJA-60ZYWUYoYRAFK5mDNxuCc,25.758805,-100.2955565
餐饮,iwan ramen house,"Av. Revolución 3985-Local 15, Contry, 64850 Monterrey, N.L., 墨西哥",4.7,855,ChIJiSNtSYa_YoYRpkWPfhmcWYE,25.634133,-100.2721741
餐饮,Ramenasai,"Av. Concordia 8001, 66612 Cdad. Apodaca, N.L., 墨西哥",4.6,650,ChIJyavWXTiTYoYRZ5fksKj2ZOM,25.7849246,-100.2354769
餐饮,Umami Ramen House Galerías Monterrey,"Av Insurgentes 2500, Vista Hermosa, 64620 Monterrey, N.L., 墨西哥",4.5,585,ChIJnX9KFgCXYoYRH8i8oeK8g2k,25.6824053,-100.3535855
餐饮,Huayuan Buffet 华苑,"Av Paseo de los Leones 1001, Cumbres Madeira, 64349 Monterrey, N.L., 墨西哥",3.9,572,ChIJWw1zSACXYoYRNDB7oNP8sgc,25.7423426,-100.4084143
餐饮,Tadaima Ramen House,"Av. Alfonso Reyes 225-C, Contry, 64860 Monterrey, N.L., 墨西哥",4.3,495,ChIJnZZqvce_YoYRbNWEzMbSA4o,25.6413735,-100.2807439
餐饮,Shing Long Comida China,"Reims 123, Las Torres, 64930 Monterrey, N.L., 墨西哥",4.3,493,ChIJD_YFjtu_YoYRbXyC0q5FFN4,25.617765,-100.2810359
餐饮,Comida China Yalé,"Av. Chapultepec 1645, Jardín Español, 64800 Monterrey, N.L., 墨西哥",4.2,462,ChIJfURZP92_YoYR2VHzWjxziMI,25.6668034,-100.283843
餐饮,ILAN Ramen & Sushi,"Av. Benito Juárez 301, Col. La Encomienda, Misión de Anáhuac, 66400 Cdad. Gral. Escobedo, N.L., 墨西哥",4.8,439,ChIJj70CF1yTYoYRE0K0yLDDhVM,25.7802687,-100.2823579
餐饮,Comida china Jin Zhen,"Jordan 1858, Tijerina, 64460 Monterrey, N.L., 墨西哥",4.6,422,ChIJR-oAZ-SVYoYRhzfiTgEvnjw,25.6941842,-100.3390788
餐饮,Ramenasai,"66072, Hacienda del Topo, 66072 Cdad. Gral. Escobedo, N.L., 墨西哥",4.8,372,ChIJyyVPNluTYoYRL1AgUhzr43U,25.7929486,-100.3291758
餐饮,Jin Ramen,"José María Morelos 101-128, Centro, 64000 Monterrey, N.L., 墨西哥",4,344,ChIJNXRbTOe_YoYRRa7Zh1xju3w,25.6682499,-100.3149417
餐饮,Jin Ultra Ramen,"Av. Ricardo Margain Zozaya 273, Santa Engracia, 66220 San Pedro Garza García, N.L., 墨西哥",4.2,327,ChIJm-tfQVK9YoYRMSSsmdizGZk,25.6586583,-100.3531568
餐饮,China House,"Modesto Arreola Ote., Centro, 64000 Monterrey, N.L., 墨西哥",4.6,304,ChIJAQgCCSq-YoYRDrYRfqVQNlo,25.6752228,-100.3096249
餐饮,Jeshi Ramen & Boba Tea,"PQGM+4F, Sin Nombre de Col 34, 66477 San Nicolás de los Garza, N.L., 墨西哥",3.7,285,ChIJDy-H9oTrYoYRC5WD2xyyN-U,25.7258494,-100.2162634
餐饮,Comida China Cantonesa Xin Quan,"Florencio Antillón 464, Centro, 64000 Monterrey, N.L., 墨西哥",4.3,252,ChIJXfhtAdS_YoYRnBjudA5mfJ4,25.670535,-100.2995657
餐饮,Comida china Yong Chang,"Av. Cristóbal Colón S/N, Industrial, 64000 Monterrey, N.L., 墨西哥",4,241,ChIJbZffCYuVYoYRrEgGgAi8qAE,25.6876973,-100.3244008
餐饮,Shun Jing Comida China Express,"Hilario Martinez 1105, Nuevo Repueblo, 64700 Monterrey, N.L., 墨西哥",4.5,239,ChIJ1dtNrTS-YoYR8xi6dkV-2U0,25.6574574,-100.3048282
餐饮,Blossoms - Ramen & Fruit Tea,"Av Hacienda de Peñuelas 6771, Bosques de Las Cumbres, 64610 Monterrey, N.L., 墨西哥",3.8,139,ChIJ39FmIACXYoYRZ5A-ZUZfxko,25.7319633,-100.3951569
餐饮,Plum Blossom (Ramen & Fruit Tea),"Miguel Hidalgo y Costilla 126, Centro, 64000 Monterrey, N.L., 墨西哥",4.1,130,ChIJq-chDAC_YoYRUdU-_0gdXZk,25.6668779,-100.3151772
餐饮,JIA XING COMIDA CHINA CANTONESA,"Av. José Vasconcelos 661, Del Valle, 66220 San Pedro Garza García, N.L., 墨西哥",4.6,119,ChIJxU1gKnu9YoYRmR_KC8A0tSA,25.6562239,-100.386784
餐饮,Tokyo Noodles,"Naranjo 800, Ebanos IX, 66610 Cdad. Apodaca, N.L., 墨西哥",4.6,83,ChIJx1ah8ovtYoYRtCHjOfn8Dt8,25.7812893,-100.238404
餐饮,Fonda China,"Cinemex Garza Sada, Av. Eugenio Garza Sada Sur, Altavista, Sin Nombre de Col 42, 64845 Monterrey, N.L., 墨西哥",4.1,81,ChIJX9pj0ry_YoYRkTYZBDvxE2s,25.6418131,-100.2858342
餐饮,Feng lin comida china express,"Av Abraham Lincoln #5253, L16E Ampliación, San Jorge, 64330 Monterrey, N.L., 墨西哥",3.9,77,ChIJITLBB3iXYoYRcMh5uZt6Xvk,25.7257072,-100.3673263
餐饮,XI HU HOT POT,"Av. Isidoro Sepúlveda Martínez 690-l15, Titan S.a., 66633 Cdad. Apodaca, N.L., 墨西哥",4.5,74,ChIJ9UQqsw7rYoYRBPxH4i5iBW0,25.742001,-100.2175204
餐饮,Comida China Hui Xin,"Av. Diego Díaz de Berlanga 198, Jardines de Santo Domingo, 66450 San Nicolás de los Garza, N.L., 墨西哥",4.4,67,ChIJ69ExP-2VYoYRSilzGuP75Zk,25.7424654,-100.262608
餐饮,China King,"Av Real De San Agustin 222, Local F-10, Zona San Agustín, 66260 San Pedro Garza García, N.L., 墨西哥",4.4,52,ChIJs8uMpRK-YoYRDXREKhFFr4M,25.651257,-100.3382754
甜品/茶饮,Jeshi MTY Ramen & Boba Tea,"Plaza fiesta anáhuac, Av. Manuel L. Barragán, Anáhuac, 66457 San Nicolás de los Garza, N.L., 墨西哥",2.9,50,ChIJe3dSOwCVYoYRrJFKUiQqOjc,25.7428986,-100.3132965
餐饮,Xingyunlai comida china,"Ignacio López Rayon 102, Centro, 66400 San Nicolás de los Garza, N.L., 墨西哥",4.8,46,ChIJM1dzdwCVYoYR-9UnJtl3rRc,25.7538722,-100.2957828
餐饮,Comida china ke xin buffet,"Av. Industrias del Poniente # 1050 LK-103 N. L N.L MX, Sin Nombre de Col 3, 66370 Cdad. Santa Catarina, N.L., 墨西哥",3.5,45,ChIJ8WqcEM2ZYoYRZLr62LiRdSU,25.6767798,-100.4490434
餐饮,Kawaiyou Boba - Tapioca/DimSum/HotPot,"Bosques de Siberia 50-L-35, Bosques del Valle 1er Sector, 66250 San Pedro Garza García, N.L., 墨西哥",4.5,44,ChIJr6LBi_C9YoYRe2AjN8pCl0A,25.6511028,-100.3744502
餐饮,Kung-Fu Ramen,"Av. Sendero Divisorio 1001, Privadas de Anáhuac, Cerrada de Anáhuac Residencial, 66059 Cdad. Gral. Escobedo, N.L., 墨西哥",4.3,44,ChIJBYspWQCVYoYRvPNBMGRbUW4,25.7713053,-100.2753402
餐饮,Pasta de china,"Avenida Concordia, Sta. Rosa - Mezquital 66610, 66609 Cdad. Apodaca, N.L., 墨西哥",4.9,38,ChIJC0PLHQDtYoYRD4a9B-NIGdk,25.7854375,-100.2270045
餐饮,comida china xingwang,"Av Abraham Lincoln 1872, Valle de Lincoln, 66026 García, N.L., 墨西哥",4.1,38,ChIJwxzBILKbYoYRqnI3Lvjqlro,25.7894676,-100.4903232
餐饮,Comida china Long Xing,"Av Manuel Ordoñez 204, Centro, 66350 Cdad. Santa Catarina, N.L., 墨西哥",3.6,38,ChIJu4hKqGeZYoYRLStzW84_ws0,25.6739085,-100.4629617
餐饮,YIZI RAMEN & BOBA TEA,"Plaza sendero a un lado de la tienda Del Sol, La Puerta, 66367 Cdad. Santa Catarina, N.L., 墨西哥",4.8,34,ChIJJzWBjN2ZYoYRnpKIxn5L9uQ,25.6875916,-100.4914081
餐饮,Run Fa Comida China,"墨西哥 Nuevo León, Monterrey, Bernardo Reyes, ADOLFO RUIZ C 2401 E6 CP .00000CELULOSA Y ALFONSO REYES邮政编码: 64280",3.8,29,ChIJx2H_PI6VYoYRQP1HNgaACiM,25.7061016,-100.3388455
餐饮,Zhōngcān 中餐,"Josefa Ortiz de Domínguez 203, Sin Nombre de Col 1, 67480 Cadereyta Jiménez, N.L., 墨西哥",4.4,28,ChIJ50t6vWnbYoYRVriFZgdNfo0,25.589933,-99.99828790000001
餐饮,"Comida China - ""Dragón de la suerte"" Mol Concordia","Sta. Rosa - Mezquital 115, 66610 Monterrey, N.L., 墨西哥",4.1,28,ChIJ40Wz8RPtYoYRzU7-_pvbEdc,25.7854459,-100.2271362
餐饮,Comida china cantonesa,"墨西哥 Nuevo León, Monterrey, Avenida Hacienda de Peñuelas 6767, local 208-210",3.3,27,ChIJ06LwPpSXYoYRrbOVbECnxzA,25.7318555,-100.3972404
餐饮,Xin Yuan Comida China Cantonesa,"Av Calz Unión, Miguel Alemán, 66470 San Nicolás de los Garza, N.L., 墨西哥",4.6,23,ChIJD9UAaGjrYoYRawGmJ7K-1OE,25.71521,-100.2219397
餐饮,COMIDA CHINA DAHUI,"C. Washington 104-oriente, Centro, 64000 Monterrey, N.L., 墨西哥",4,22,ChIJqYwczBO_YoYR-CNjoqtzc0I,25.6743284,-100.3142937
餐饮,Comida china La Gran fortuna,"Rogelio González Caballero, Av. Miguel Alemán 100-Local 8, Parque Industrial Stiva, Aeropuerto, 66626 Cdad. Apodaca, N.L., 墨西哥",4.7,20,ChIJ2y1hCAjvYoYR6YiB4o8wlJA,25.7882969,-100.1445378
餐饮,Comida China Xing Long,"Carr. Monterrey - Saltillo 2460, Cumbres de Santa Catarina Primer Sector, 66358 Cdad. Santa Catarina, N.L., 墨西哥",4.5,19,ChIJH41mG9iZYoYRO-Y5Y2S-VQA,25.6840066,-100.4862189
甜品/茶饮,Jeshi Ramen & Boba Tea Almenares,"Anáhuac Sendero, 66418 San Nicolás de los Garza, Nuevo Leon, 墨西哥",3.4,17,ChIJB9HWPACVYoYRnqxEUzrPpLU,25.7684977,-100.2772067
餐饮,COMIDA CHINA HONGKONG,"Av. Santa Barbara 120-122, 67256 Cdad. Benito Juárez, N.L., 墨西哥",4.7,15,ChIJ3fRMOn3DYoYR70DzHAdlj4g,25.6796366,-100.0850743
餐饮,Lucky Comida China,"Av. Batallón de San Patricio 109 B, Zona San Agustín, 66260 San Pedro Garza García, N.L., 墨西哥",4.3,15,ChIJWef-ome_YoYRXNa9_FbFUTs,25.6486898,-100.3381819
餐饮,XingFa comida china,"墨西哥 Nuevo León, Cdad. Apodaca, Villas de Santa Rosa, Mezquital - Sta. Rosa, 邮政编码: 66610",4.7,10,ChIJsyULvtHtYoYRHV7ZBco2-Sw,25.805335,-100.22234
餐饮,comida china shenzhen,"Av. San Fernando 308, 66670 Dulces Nombres, N.L., 墨西哥",3.5,10,ChIJ5dCIdgDpYoYRGyA1BmsrNyU,25.7146455,-100.1054511
餐饮,Comida china ke xin,"Vicente Guerrero 2500, Col Del Prado, 64520 Monterrey, N.L., 墨西哥",4.8,9,ChIJXSRpBfWVYoYRDtz5FMGoSwU,25.7020647,-100.3081425
餐饮,Khinkali Dumplings,"Juan Álvarez 425, Centro, 64000 Monterrey, N.L., 墨西哥",4.7,9,ChIJof6Rwhi_YoYRUYyxhgVuvRE,25.6738662,-100.3242147
餐饮,Comida china y sushi,"Av. Arco del Triunfo, 66580 Cdad. Gral. Escobedo, N.L., 墨西哥",3.9,9,ChIJF4aoZ8OTYoYRaS5bzJR05yc,25.8525758,-100.3049685
餐饮,Comida china Miang hui,"Raul salinas lozano, Av. las Torres 100 2, puerta del sol, 66070 Cdad. Gral. Escobedo, N.L., 墨西哥",3.2,9,ChIJn5IrCzWTYoYRFMZHua93Puc,25.8049295,-100.3426435
餐饮,Xiao ling comida china,"Av. Raúl Salinas Lozano 211, Topo Grande, 66055 Cdad. Gral. Escobedo, N.L., 墨西哥",4.7,6,ChIJwcfG2YCTYoYRnBDiw0mOoCg,25.7820702,-100.3190672
餐饮,MiniSnack “La China”,"Sobre Las Olas, Residencial Roble 3er Sector, 66414 San Nicolás de los Garza, N.L., 墨西哥",5,5,ChIJjfjppciVYoYROiDqR9-Adw4,25.7621419,-100.2827266
